age,working_sector,financial_weight,qualification,years_of_education,loan_taken,marital_status,occupation,relationship,ethnicity,gender,gain,loss,working_hours,country,target
24.0,private,172987.0,Bachelors,EDL4,0,Married-civilian,support, Husband, White, Male,0.0,0.0,50.0, United-States,0
49.0,private,94638.0,HighGrad,EDL2,0,Separated,clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
25.0,private,289980.0,HighGrad,EDL2,0,Never-married,cleaner, Not-in-family, White, Male,0.0,0.0,35.0, United-States,0
53.0,private,144361.0,HighGrad,EDL2,0,Married-civilian,inspector, Husband, White, Male,0.0,0.0,38.0, United-States,0
44.0,private,128354.0,Masters,EDL5,0,Divorced,managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
41.0,state,101603.0,CommunityCollege,EDL4,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
29.0,private,271466.0,CommunityCollege,EDL4,0,Never-married,specialty, Not-in-family, White, Male,0.0,0.0,43.0, United-States,0
25.0,private,32275.0,CommunityCollege,EDL3,0,Married-civilian,managerial, Wife, Other, Female,0.0,0.0,40.0, United-States,0
18.0,private,226956.0,HighGrad,EDL2,0,Never-married,other, Own-child, White, Female,0.0,0.0,30.0, Yugoslavia,0
47.0,self_employed,109832.0,HighGrad,EDL2,0,Divorced,managerial, Not-in-family, White, Male,0.0,0.0,60.0, United-States,0
46.0,private,216666.0,dropout,EDL1,0,Married-civilian,inspector, Husband, White, Male,0.0,0.0,40.0, Mexico,0
35.0,private,56352.0,CommunityCollege,EDL4,0,Married-civilian,other, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico,0
41.0,private,147372.0,HighGrad,EDL2,0,Married-civilian,clerical, Husband, White, Male,0.0,0.0,48.0, United-States,0
30.0,private,188146.0,HighGrad,EDL2,0,Married-civilian,inspector, Husband, White, Male,5013.0,0.0,40.0, United-States,0
30.0,private,59496.0,Bachelors,EDL4,0,Married-civilian,sales, Husband, White, Male,2407.0,0.0,40.0, United-States,0
48.0,private,149640.0,HighGrad,EDL2,0,Married-civilian,transport, Husband, White, Male,0.0,0.0,40.0, United-States,0
29.0,private,105598.0,CommunityCollege,EDL3,0,Divorced,support, Not-in-family, White, Male,0.0,0.0,58.0, United-States,0
36.0,private,155537.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
25.0,without_pay,200681.0,CommunityCollege,EDL3,0,Never-married,transport, Own-child, White, Male,0.0,0.0,40.0, United-States,0
19.0,private,101509.0,CommunityCollege,EDL3,0,Never-married,specialty, Own-child, White, Male,0.0,0.0,32.0, United-States,0
31.0,private,309974.0,Bachelors,EDL4,0,Separated,sales, Own-child, Black, Female,0.0,0.0,40.0, United-States,0
23.0,private,211678.0,CommunityCollege,EDL3,0,Never-married,inspector, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
79.0,private,124744.0,CommunityCollege,EDL3,0,Married-civilian,specialty, Other-relative, White, Male,0.0,0.0,20.0, United-States,0
27.0,private,213921.0,HighGrad,EDL2,0,Never-married,other, Own-child, White, Male,0.0,0.0,40.0, Mexico,0
40.0,private,32214.0,CommunityCollege,EDL4,0,Married-civilian,clerical, Husband, White, Male,0.0,0.0,40.0, United-States,0
67.0,without_pay,212759.0,dropout,EDL1,0,Married-civilian,transport, Husband, White, Male,0.0,0.0,2.0, United-States,0
18.0,private,309634.0,dropout,EDL1,0,Never-married,other, Own-child, White, Female,0.0,0.0,22.0, United-States,0
31.0,local_body,125927.0,dropout,EDL1,0,Married-civilian,farming, Husband, White, Male,0.0,0.0,40.0, United-States,0
18.0,private,446839.0,HighGrad,EDL2,0,Never-married,sales, Not-in-family, White, Male,0.0,0.0,30.0, United-States,0
52.0,private,276515.0,Bachelors,EDL4,0,Married-civilian,other, Husband, White, Male,0.0,0.0,40.0, Cuba,0
46.0,private,51618.0,HighGrad,EDL2,0,Married-civilian,other, Wife, White, Female,0.0,0.0,40.0, United-States,0
59.0,private,159937.0,HighGrad,EDL2,0,Married-civilian,sales, Husband, White, Male,0.0,0.0,48.0, United-States,0
53.0,private,346253.0,HighGrad,EDL2,0,Divorced,sales, Own-child, White, Female,0.0,0.0,35.0, United-States,0
33.0,private,202051.0,Masters,EDL5,0,Married-civilian,specialty, Husband, White, Male,0.0,0.0,50.0, United-States,0
30.0,private,54334.0,dropout,EDL1,0,Never-married,sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
57.0,private,249977.0,CommunityCollege,EDL4,0,Married-civilian,specialty, Husband, White, Male,0.0,0.0,40.0, United-States,0
37.0,private,286730.0,CommunityCollege,EDL3,0,Divorced,repair, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
28.0,private,212563.0,CommunityCollege,EDL3,0,Divorced,inspector, Unmarried, Black, Female,0.0,0.0,25.0, United-States,0
30.0,private,117747.0,HighGrad,EDL2,0,Married-civilian,sales, Wife, Asian-Pac-Islander, Female,0.0,1573.0,35.0, Yugoslavia,0
48.0,private,171095.0,CommunityCollege,EDL4,0,Divorced,managerial, Unmarried, White, Female,0.0,0.0,40.0, England,0
32.0,national,249409.0,HighGrad,EDL2,0,Never-married,other, Own-child, Black, Male,0.0,0.0,40.0, United-States,0
47.0,self_employed,149116.0,Masters,EDL5,0,Never-married,specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0
20.0,private,188300.0,CommunityCollege,EDL3,0,Never-married,support, Own-child, White, Female,0.0,0.0,40.0, United-States,0
29.0,private,103432.0,HighGrad,EDL2,0,Never-married,repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
17.0,without_pay,304873.0,dropout,EDL1,0,Never-married,transport, Own-child, White, Female,34095.0,0.0,32.0, United-States,0
30.0,private,194901.0,dropout,EDL1,0,Never-married,cleaner, Own-child, White, Male,0.0,0.0,40.0, United-States,0
31.0,local_body,189265.0,HighGrad,EDL2,0,Never-married,clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
42.0,private,124692.0,HighGrad,EDL2,0,Married-civilian,cleaner, Husband, White, Male,0.0,0.0,40.0, United-States,0
24.0,private,432376.0,Bachelors,EDL4,0,Never-married,sales, Other-relative, White, Male,0.0,0.0,40.0, United-States,0
28.0,private,377869.0,CommunityCollege,EDL3,0,Married-civilian,sales, Wife, White, Female,4064.0,0.0,25.0, United-States,0
36.0,private,102864.0,HighGrad,EDL2,0,Never-married,inspector, Own-child, White, Female,0.0,0.0,40.0, United-States,0
53.0,private,95647.0,dropout,EDL1,0,Married-civilian,cleaner, Husband, White, Male,0.0,0.0,50.0, United-States,0
56.0,self_employed,303090.0,CommunityCollege,EDL3,0,Married-civilian,sales, Husband, White, Male,0.0,0.0,50.0, United-States,0
55.0,private,247552.0,CommunityCollege,EDL3,0,Married-civilian,sales, Husband, White, Male,0.0,0.0,56.0, United-States,0
22.0,private,102632.0,HighGrad,EDL2,0,Never-married,repair, Not-in-family, White, Male,0.0,0.0,41.0, United-States,0
21.0,private,199915.0,CommunityCollege,EDL3,0,Never-married,other, Own-child, White, Female,0.0,0.0,40.0, United-States,0
40.0,private,118853.0,Bachelors,EDL4,0,Married-civilian,managerial, Husband, White, Male,0.0,0.0,60.0, United-States,0
30.0,private,77143.0,Bachelors,EDL4,0,Never-married,managerial, Own-child, Black, Male,0.0,0.0,40.0, Germany,0
19.0,private,301606.0,CommunityCollege,EDL3,0,Never-married,other, Own-child, Black, Male,0.0,0.0,35.0, United-States,0
20.0,private,111697.0,CommunityCollege,EDL3,0,Never-married,clerical, Own-child, White, Female,0.0,1719.0,28.0, United-States,0
35.0,without_pay,129305.0,HighGrad,EDL2,0,Married-civilian,transport, Husband, White, Male,0.0,0.0,40.0, United-States,0
39.0,private,365739.0,CommunityCollege,EDL3,0,Divorced,repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
28.0,private,69621.0,CommunityCollege,EDL4,0,Never-married,sales, Not-in-family, White, Female,0.0,0.0,60.0, United-States,0
24.0,private,43323.0,HighGrad,EDL2,0,Never-married,other, Not-in-family, White, Female,0.0,1762.0,40.0, United-States,0
38.0,self_employed,120985.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, White, Male,4386.0,0.0,35.0, United-States,0
46.0,private,146195.0,CommunityCollege,EDL4,0,Divorced,support, Not-in-family, Black, Female,0.0,0.0,36.0, United-States,0
43.0,self_employed,56920.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,60.0, United-States,0
27.0,private,163127.0,CommunityCollege,EDL4,0,Married-civilian,clerical, Wife, White, Female,0.0,0.0,35.0, United-States,0
20.0,private,34310.0,CommunityCollege,EDL3,0,Never-married,sales, Own-child, White, Male,0.0,0.0,20.0, United-States,0
61.0,self_employed,66614.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
27.0,private,232782.0,CommunityCollege,EDL3,0,Never-married,sales, Own-child, White, Female,0.0,0.0,40.0, United-States,0
19.0,private,316868.0,CommunityCollege,EDL3,0,Never-married,other, Own-child, White, Male,0.0,0.0,30.0, Mexico,0
70.0,private,105376.0,CommunityCollege,EDL3,0,Never-married,support, Other-relative, White, Male,0.0,0.0,40.0, United-States,0
31.0,private,185814.0,HighGrad,EDL2,1,Never-married,transport, Unmarried, Black, Female,0.0,0.0,30.0, United-States,0
22.0,private,175374.0,CommunityCollege,EDL3,0,Married-civilian,other, Husband, White, Male,0.0,0.0,24.0, United-States,0
36.0,private,108293.0,HighGrad,EDL2,0,Widowed,other, Unmarried, White, Female,0.0,0.0,24.0, United-States,0
64.0,private,181232.0,dropout,EDL1,0,Married-civilian,repair, Husband, White, Male,0.0,2179.0,40.0, United-States,0
43.0,without_pay,174662.0,CommunityCollege,EDL3,0,Divorced,transport, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
47.0,local_body,186009.0,CommunityCollege,EDL3,0,Divorced,clerical, Unmarried, White, Female,0.0,0.0,38.0, Mexico,0
34.0,private,198183.0,HighGrad,EDL2,0,Never-married,clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
33.0,private,163003.0,Bachelors,EDL4,0,Never-married,managerial, Other-relative, Asian-Pac-Islander, Female,0.0,0.0,40.0, Philippines,0
21.0,private,296158.0,HighGrad,EDL2,0,Never-married,repair, Own-child, White, Male,0.0,0.0,35.0, United-States,0
48.0,private,187715.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,46.0, United-States,0
23.0,private,214542.0,Bachelors,EDL4,0,Never-married,cleaner, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
29.0,private,191535.0,HighGrad,EDL2,1,Divorced,repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States,0
42.0,private,228456.0,Bachelors,EDL4,0,Separated,other, Other-relative, Black, Male,0.0,0.0,50.0, United-States,0
68.0,without_pay,38317.0,dropout,EDL1,0,Divorced,transport, Not-in-family, White, Female,0.0,0.0,20.0, United-States,0
25.0,private,252752.0,HighGrad,EDL2,0,Never-married,other, Unmarried, White, Female,0.0,0.0,40.0, United-States,0
44.0,self_employed,78374.0,Masters,EDL5,0,Divorced,managerial, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States,0
28.0,private,88419.0,HighGrad,EDL2,0,Never-married,managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, England,0
36.0,private,207157.0,CommunityCollege,EDL3,0,Divorced,other, Unmarried, White, Female,0.0,0.0,40.0, Mexico,0
39.0,national,235485.0,CommunityCollege,EDL4,0,Never-married,managerial, Not-in-family, White, Male,0.0,0.0,42.0, United-States,0
46.0,state,102628.0,Masters,EDL5,0,Widowed,guard, Unmarried, White, Male,0.0,0.0,40.0, United-States,0
18.0,private,25828.0,dropout,EDL1,0,Never-married,cleaner, Own-child, White, Male,0.0,0.0,16.0, United-States,0
66.0,local_body,54826.0,CommunityCollege,EDL4,0,Widowed,specialty, Not-in-family, White, Female,0.0,0.0,20.0, United-States,0
27.0,private,124953.0,HighGrad,EDL2,1,Never-married,other, Not-in-family, White, Male,0.0,1980.0,40.0, United-States,0
28.0,state,175325.0,HighGrad,EDL2,0,Married-civilian,guard, Husband, White, Male,0.0,0.0,40.0, United-States,0
27.0,private,428030.0,Bachelors,EDL4,0,Never-married,repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States,0
21.0,private,312956.0,HighGrad,EDL2,0,Never-married,repair, Own-child, Black, Male,0.0,0.0,40.0, United-States,0
34.0,private,483777.0,HighGrad,EDL2,0,Never-married,cleaner, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,0
18.0,private,183930.0,HighGrad,EDL2,0,Never-married,other, Own-child, White, Male,0.0,0.0,12.0, United-States,0
33.0,private,37274.0,Bachelors,EDL4,0,Married-civilian,specialty, Husband, White, Male,0.0,0.0,65.0, United-States,0
43.0,private,114580.0,CommunityCollege,EDL3,0,Divorced,clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
30.0,private,633742.0,CommunityCollege,EDL3,0,Never-married,repair, Not-in-family, Black, Male,0.0,0.0,45.0, United-States,0
34.0,private,304030.0,HighGrad,EDL2,0,Married-civilian,clerical, Husband, Black, Male,0.0,0.0,40.0, United-States,0
41.0,self_employed,143129.0,Bachelors,EDL4,0,Divorced,managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
53.0,without_pay,135105.0,Bachelors,EDL4,0,Divorced,transport, Not-in-family, White, Female,0.0,0.0,50.0, United-States,0
38.0,private,155222.0,CommunityCollege,EDL3,0,Divorced,inspector, Not-in-family, Black, Female,0.0,0.0,28.0, United-States,0
24.0,private,159567.0,CommunityCollege,EDL3,0,Married-civilian,inspector, Husband, White, Male,0.0,0.0,40.0, United-States,0
41.0,local_body,523910.0,Bachelors,EDL4,0,Married-civilian,repair, Husband, Black, Male,0.0,0.0,40.0, United-States,0
47.0,private,120939.0,CommunityCollege,EDL3,0,Married-civilian,support, Husband, White, Male,0.0,0.0,45.0, United-States,0
41.0,national,130760.0,Bachelors,EDL4,0,Married-civilian,support, Husband, White, Male,0.0,0.0,24.0, United-States,0
23.0,private,197387.0,dropout,EDL1,0,Married-civilian,transport, Other-relative, White, Male,0.0,0.0,40.0, Mexico,0
36.0,private,99374.0,CommunityCollege,EDL3,0,Divorced,repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
24.0,self_employed,32921.0,HighGrad,EDL2,1,Never-married,sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
26.0,private,397317.0,Masters,EDL5,0,Never-married,specialty, Not-in-family, White, Female,0.0,1876.0,40.0, United-States,0
19.0,without_pay,170653.0,HighGrad,EDL2,0,Never-married,transport, Own-child, White, Male,0.0,0.0,40.0, Italy,0
42.0,local_body,254817.0,CommunityCollege,EDL3,0,Never-married,specialty, Not-in-family, White, Female,0.0,1340.0,40.0, United-States,0
37.0,state,48211.0,HighGrad,EDL2,0,Divorced,clerical, Unmarried, White, Female,0.0,0.0,35.0, United-States,0
18.0,private,140164.0,dropout,EDL1,0,Never-married,sales, Own-child, White, Female,0.0,0.0,40.0, United-States,0
35.0,private,36270.0,HighGrad,EDL2,0,Divorced,repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States,0
17.0,private,65368.0,dropout,EDL1,0,Never-married,sales, Own-child, White, Female,0.0,0.0,12.0, United-States,0
44.0,local_body,160943.0,HighGrad,EDL2,0,Married-civilian,transport, Husband, Black, Male,0.0,0.0,40.0, United-States,0
35.0,private,153790.0,CommunityCollege,EDL3,0,Never-married,sales, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States,0
60.0,private,85815.0,HighGrad,EDL2,0,Married-civilian,repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States,0
50.0,private,313321.0,CommunityCollege,EDL4,0,Divorced,sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
38.0,private,182609.0,Bachelors,EDL4,0,Married-civilian,sales, Husband, White, Male,0.0,0.0,50.0, Poland,0
45.0,private,109434.0,Bachelors,EDL4,0,Married-civilian,specialty, Husband, White, Male,0.0,0.0,55.0, United-States,0
25.0,private,255004.0,dropout,EDL1,0,Never-married,repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
31.0,private,197860.0,CommunityCollege,EDL3,0,Married-civilian,cleaner, Husband, White, Male,0.0,0.0,40.0, United-States,0
64.0,without_pay,187656.0,dropout,EDL1,0,Divorced,transport, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
90.0,private,51744.0,HighGrad,EDL2,0,Never-married,other, Not-in-family, Black, Male,0.0,2206.0,40.0, United-States,0
54.0,private,176681.0,HighGrad,EDL2,0,Married-civilian,clerical, Husband, Black, Male,0.0,0.0,20.0, United-States,0
53.0,local_body,140359.0,dropout,EDL1,0,Never-married,inspector, Not-in-family, White, Female,0.0,0.0,35.0, United-States,0
18.0,private,243313.0,HighGrad,EDL2,0,Never-married,sales, Own-child, White, Female,0.0,0.0,40.0, United-States,0
60.0,without_pay,24215.0,dropout,EDL1,0,Divorced,transport, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,10.0, United-States,0
66.0,self_employed,167687.0,HighGrad,EDL2,0,Married-civilian,farming, Husband, White, Male,1409.0,0.0,50.0, United-States,0
75.0,private,314209.0,CommunityCollege,EDL4,0,Widowed,clerical, Not-in-family, White, Female,0.0,0.0,20.0, Columbia,0
65.0,private,176796.0,HighGrad,EDL2,0,Divorced,clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
35.0,private,538583.0,dropout,EDL1,0,Separated,transport, Not-in-family, Black, Male,3674.0,0.0,40.0, United-States,0
41.0,private,130408.0,HighGrad,EDL2,0,Divorced,sales, Unmarried, Black, Female,0.0,0.0,38.0, United-States,0
25.0,private,159732.0,CommunityCollege,EDL3,0,Never-married,clerical, Not-in-family, White, Male,0.0,0.0,42.0, United-States,0
33.0,private,110978.0,CommunityCollege,EDL3,0,Divorced,repair, Other-relative, Other, Female,0.0,0.0,40.0, United-States,0
59.0,state,268700.0,HighGrad,EDL2,0,Married-civilian,other, Husband, White, Male,0.0,0.0,40.0, United-States,0
40.0,state,170525.0,CommunityCollege,EDL3,0,Never-married,clerical, Not-in-family, White, Female,0.0,0.0,38.0, United-States,0
23.0,private,115458.0,HighGrad,EDL2,0,Never-married,transport, Own-child, White, Male,0.0,0.0,40.0, United-States,0
41.0,self_employed,196001.0,HighGrad,EDL2,0,Married-civilian,other, Wife, White, Female,0.0,0.0,20.0, United-States,0
24.0,state,273905.0,CommunityCollege,EDL4,0,Married-civilian,guard, Husband, White, Male,0.0,0.0,50.0, United-States,0
20.0,without_pay,119156.0,CommunityCollege,EDL3,0,Never-married,transport, Own-child, White, Male,0.0,0.0,20.0, United-States,0
38.0,private,179488.0,CommunityCollege,EDL3,0,Divorced,repair, Not-in-family, White, Male,0.0,1741.0,40.0, United-States,0
56.0,private,203580.0,HighGrad,EDL2,0,Married-civilian,clerical, Husband, White, Male,0.0,0.0,35.0, Yugoslavia,0
32.0,private,183916.0,HighGrad,EDL2,0,Never-married,other, Not-in-family, White, Female,0.0,0.0,34.0, United-States,0
45.0,private,153141.0,HighGrad,EDL2,0,Married-civilian,clerical, Husband, White, Male,0.0,0.0,40.0, Yugoslavia,0
42.0,private,390781.0,Bachelors,EDL4,0,Married-civilian,clerical, Wife, Black, Female,0.0,0.0,40.0, United-States,0
59.0,local_body,171328.0,dropout,EDL1,0,Widowed,other, Unmarried, Black, Female,0.0,0.0,30.0, United-States,0
19.0,local_body,27382.0,CommunityCollege,EDL3,0,Never-married,clerical, Own-child, White, Male,0.0,0.0,40.0, United-States,0
58.0,private,259014.0,CommunityCollege,EDL3,0,Never-married,transport, Not-in-family, White, Male,0.0,0.0,20.0, United-States,0
20.0,private,117789.0,HighGrad,EDL2,0,Never-married,other, Own-child, White, Female,0.0,0.0,40.0, United-States,0
32.0,private,172579.0,HighGrad,EDL2,0,Separated,other, Not-in-family, White, Female,0.0,0.0,30.0, United-States,0
45.0,private,187666.0,CommunityCollege,EDL4,0,Widowed,managerial, Not-in-family, White, Female,0.0,0.0,45.0, United-States,0
50.0,private,204518.0,dropout,EDL1,0,Divorced,repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,0
36.0,private,150042.0,Bachelors,EDL4,0,Divorced,specialty, Own-child, White, Female,0.0,0.0,40.0, United-States,0
45.0,private,98092.0,HighGrad,EDL2,0,Married-civilian,sales, Husband, White, Male,0.0,0.0,60.0, United-States,0
17.0,private,245918.0,dropout,EDL1,0,Never-married,other, Own-child, White, Male,0.0,0.0,12.0, United-States,0
59.0,private,146013.0,CommunityCollege,EDL3,0,Married-civilian,sales, Husband, White, Male,4064.0,0.0,40.0, United-States,0
26.0,private,378322.0,dropout,EDL1,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,40.0, United-States,0
19.0,without_pay,218956.0,CommunityCollege,EDL3,0,Never-married,transport, Own-child, White, Male,0.0,0.0,24.0, Canada,0
33.0,private,185480.0,Bachelors,EDL4,0,Never-married,specialty, Not-in-family, White, Female,0.0,0.0,45.0, United-States,0
17.0,private,191260.0,dropout,EDL1,0,Never-married,other, Own-child, White, Male,1055.0,0.0,24.0, United-States,0
50.0,self_employed,30653.0,Masters,EDL5,0,Married-civilian,farming, Husband, White, Male,2407.0,0.0,98.0, United-States,0
27.0,local_body,209109.0,Masters,EDL5,0,Never-married,specialty, Own-child, White, Male,0.0,0.0,35.0, United-States,0
30.0,private,70377.0,HighGrad,EDL2,1,Divorced,specialty, Own-child, White, Female,0.0,0.0,40.0, United-States,0
43.0,private,477983.0,HighGrad,EDL2,0,Married-civilian,cleaner, Husband, Black, Male,0.0,0.0,40.0, United-States,0
35.0,private,190174.0,CommunityCollege,EDL3,0,Never-married,managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
25.0,private,193787.0,CommunityCollege,EDL3,0,Never-married,support, Own-child, White, Female,0.0,0.0,40.0, United-States,0
22.0,private,34918.0,Bachelors,EDL4,0,Never-married,specialty, Not-in-family, White, Female,0.0,0.0,15.0, Germany,0
60.0,private,173960.0,Bachelors,EDL4,0,Divorced,specialty, Not-in-family, White, Female,0.0,0.0,42.0, United-States,0
21.0,private,205759.0,HighGrad,EDL2,0,Never-married,cleaner, Own-child, White, Male,0.0,0.0,40.0, United-States,0
50.0,private,176609.0,CommunityCollege,EDL3,0,Divorced,other, Not-in-family, White, Male,0.0,0.0,45.0, United-States,0
25.0,private,371987.0,Bachelors,EDL4,0,Never-married,managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
50.0,private,193884.0,dropout,EDL1,0,Married-civilian,repair, Husband, White, Male,0.0,0.0,40.0, Ecuador,0
31.0,private,127595.0,HighGrad,EDL2,0,Divorced,specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
29.0,local_body,220419.0,Bachelors,EDL4,1,Never-married,guard, Not-in-family, White, Male,0.0,0.0,56.0, United-States,0
21.0,private,231931.0,CommunityCollege,EDL3,0,Never-married,sales, Own-child, White, Male,0.0,0.0,45.0, United-States,0
27.0,private,248402.0,Bachelors,EDL4,0,Never-married,support, Unmarried, Black, Female,0.0,0.0,40.0, United-States,0
65.0,private,111095.0,HighGrad,EDL2,0,Married-civilian,transport, Husband, White, Male,0.0,0.0,16.0, United-States,0
37.0,self_employed,57424.0,Bachelors,EDL4,0,Divorced,sales, Not-in-family, White, Female,0.0,0.0,60.0, United-States,0
24.0,private,278130.0,HighGrad,EDL2,0,Never-married,repair, Own-child, White, Male,0.0,0.0,40.0, United-States,0
38.0,private,169469.0,HighGrad,EDL2,0,Divorced,sales, Not-in-family, White, Male,0.0,0.0,80.0, United-States,0
